2023-08-10 20:07:03|voc4cat.cli         |INFO    |Executing cmd: voc4cat transform --logfile publish/voc4cat.log --join publish/
2023-08-10 20:07:03|voc4cat.cli         |DEBUG   |Processing common options.
2023-08-10 20:07:03|voc4cat.transform   |DEBUG   |Transform subcommand started!
2023-08-10 20:07:03|voc4cat.transform   |DEBUG   |Processing rdf files in "publish/vocab_example"
2023-08-10 20:07:03|voc4cat.transform   |INFO    |-> joined vocabulary into: publish/vocab_example.ttl
2023-08-10 20:07:04|voc4cat.cli         |INFO    |Executing cmd: voc4cat docs --force --logfile publish/voc4cat.log publish/
2023-08-10 20:07:04|voc4cat.cli         |DEBUG   |Processing common options.
2023-08-10 20:07:04|voc4cat.docs        |DEBUG   |Docs subcommand started!
2023-08-10 20:07:04|voc4cat.docs        |DEBUG   |Processing "publish/vocab_example.ttl"
2023-08-10 20:07:04|pylode.common       |DEBUG   |Application dir: /opt/hostedtoolcache/Python/3.11.4/x64/lib/python3.11/site-packages/pylode
2023-08-10 20:07:04|voc4cat.docs        |INFO    |-> built pyLODE documentation for publish/vocab_example.ttl
2023-08-10 20:07:04|voc4cat.cli         |INFO    |Executing cmd: voc4cat convert --logfile publish/voc4cat.log --template templates/voc4cat_template_043.xlsx publish/
2023-08-10 20:07:04|voc4cat.cli         |DEBUG   |Processing common options.
2023-08-10 20:07:04|voc4cat.convert     |DEBUG   |Convert subcommand started!
2023-08-10 20:07:04|voc4cat.convert     |DEBUG   |Processing "publish/vocab_example.ttl"
2023-08-10 20:07:05|voc4cat.convert     |INFO    |-> successfully converted to publish/vocab_example.xlsx
